title,title_name,make,modelname,modelnameq,modelno,modelnoq
"Aerospatiale Alouette III for sale.","Eurocopter Alouette III",Eurocopter,Alouette,NULL,NULL,NULL
"We, Global Charter Services are the owner and operator of a fleet of 2x A300F freighters",NULL,Airbus,A300F,NULL,NULL,NULL
"Aircraft Available for ACMI, Dry Lease or Sale","Airbus A320-211",Airbus,NULL,NULL,A320,A320-211
"1988 Airbus A310-300 for ACMI Lease","Airbus A310-300",Airbus,NULL,NULL,A310,A310-300
"2005 Airbus A319-200 for ACMI Lease","Airbus A319-200",Airbus,NULL,NULL,A319,A319-200
"B757-200 Available for ACMI Lease","Boeing 757-200",Boeing,NULL,NULL,757,757-200
"2006 Airbus A321-231 for ACMI Lease",NULL,Airbus,A321-231,NULL,NULL,NULL
"A330-200 Available for ACMI","Airbus A330-200",Airbus,NULL,NULL,A330,A330-200
"1997 Airbus A340-300 for Sale",NULL,Airbus,A340-300,NULL,NULL,NULL
"1988 ATR 42-320 available on ACMI Lease",NULL,ATR,42-320,NULL,NULL,NULL
"1989 ATR 72-200 available on ACMI Lease",NULL,ATR,72-200,NULL,NULL,NULL
"1990 ATR 72-202 available on ACMI Lease","ATR 72-202",ATR,NULL,NULL,72,72-202
"1984 Agusta A109A MK II for sale","Agusta A109A II",Agusta,NULL,NULL,A109,"A109A II"
"Agusta A109E for sale","Agusta A109E",Agusta,NULL,NULL,A109,A109E
"BAe 146-200 available for ACMI Lease","BAe 146-200",BAe,NULL,NULL,146,146-200
"1979 Beech A36 Bonanza for sale",NULL,Beech,A36,NULL,NULL,NULL
"1971 Beech A60 Duke available for Sale","Beech A60 Duke",Beech,Duke,NULL,60,A60
"1989 Beech B1900 available for Dry or Wet Lease",NULL,Beech,1900,NULL,NULL,NULL
"1993 Beechcraft King Air C90B for ACMI","Beech C90B King Air",Beech,"King Air",NULL,90,C90B
"1972 Bell 205A-1 for sale","Bell 205A-I Iroquois (Huey)",Bell,205A-I,NULL,NULL,NULL
"1980 Bell 206B III Jet Ranger for sale",NULL,Bell,206B,NULL,NULL,NULL
"1985 Bell 206BIII Jet Ranger for sale","Bell 206B3 JetRanger II",Bell,JetRanger,NULL,206,206B3
"1982 Bell 206BIII Jet Ranger for Lease",NULL,Bell,206B,NULL,NULL,NULL
"2008 Bell 206B III Jet Ranger for sale.",NULL,Bell,206B,NULL,NULL,NULL
"1979 Bell 206L1 Longranger for sale","Bell 206L1 LongRanger II",Bell,LongRanger,NULL,206,206L1
"1982 Bell 206L1 C30P Longranger for sale","Bell 206L1+ LongRanger III",Bell,LongRanger,NULL,206,206L1+
"1993 Bell 206L4 for sale",NULL,Bell,206L4,NULL,NULL,NULL
"Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727",Boeing,NULL,NULL,727,NULL
"Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727",Boeing,NULL,NULL,727,NULL
"Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727",Boeing,NULL,NULL,727,NULL
"Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727",Boeing,NULL,NULL,727,NULL
"Online auction of Boeing 727 Cargo Freighter Aircraft stored at Upington Airport, South Africa","Boeing 727",Boeing,NULL,NULL,727,NULL
"1990 Boeing 737-300 Available for immediate ACMI lease","Boeing 737-300",Boeing,NULL,NULL,737,737-300
"1989 Boeing 737-400 Available for immediate ACMI lease","Boeing 737-400",Boeing,737-400,NULL,NULL,NULL
"1991 Boeing 737-500 Available for Sale",NULL,Boeing,737-500,NULL,NULL,NULL
