"list_id","title (headline from sites)","title_name (parsed title)","year","make","modelname","modelnameq","modelno","modelnoq","deeplink"
"30","Aerospatiale Alouette III for sale.","Eurocopter Alouette III",,"Eurocopter","Alouette",,,,"www.globalplanesearch.com/listing/aircraft-for-sale/Eurocopter-Alouette-III/30"
"31","We, Global Charter Services are the owner and operator of a fleet of 2x A300F freighters",,,"Airbus","A300F",,,,
"32","Aircraft Available for ACMI, Dry Lease or Sale","Airbus A320-211","2003","Airbus",,,"A320","A320-211","www.globalplanesearch.com/listing/aircraft-for-sale/Airbus-A320-211/32"
"33","1988 Airbus A310-300 for ACMI Lease","Airbus A310-300","1988","Airbus",,,"A310","A310-300","www.globalplanesearch.com/listing/aircraft-for-sale/Airbus-A310-300/33"
"34","2005 Airbus A319-200 for ACMI Lease","Airbus A319-200","2005","Airbus",,,"A319","A319-200","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Airbus-A319-200/34"
"35","B757-200 Available for ACMI Lease","Boeing 757-200","1992","Boeing",,,"757","757-200","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Boeing-757-200/35"
"36","2006 Airbus A321-231 for ACMI Lease",,"2006","Airbus","A321-231",,,,
"37","A330-200 Available for ACMI","Airbus A330-200","1999","Airbus",,,"A330","A330-200","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/Airbus-A330-200/37"
"38","1997 Airbus A340-300 for Sale",,"1997","Airbus","A340-300",,,,
"39","1988 ATR 42-320 available on ACMI Lease",,"1988","ATR","42-320",,,,
"40","1989 ATR 72-200 available on ACMI Lease",,"1989","ATR","72-200",,,,
"41","1990 ATR 72-202 available on ACMI Lease","ATR 72-202","1990","ATR",,,"72","72-202","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/ATR-72-202/41"
"42","1984 Agusta A109A MK II for sale","Agusta A109A II","1984","Agusta",,,"A109","A109A II","www.globalplanesearch.com/listing/aircraft-for-sale/Agusta-A109A/42"
"43","Agusta A109E for sale","Agusta A109E",,"Agusta",,,"A109","A109E","www.globalplanesearch.com/listing/aircraft-for-sale/Agusta-A109E/43"
"44","BAe 146-200 available for ACMI Lease","BAe 146-200","1986","BAe",,,"146","146-200","www.globalplanesearch.com/listing/aircraft-for-acmi-lease/BAe-146-200/44"
"45","1979 Beech A36 Bonanza for sale",,"1979","Beech","A36",,,,
